Key,Producer,Product,Place,Region,Country,Grape,Vintage,Category,ABV,BTG,List Position,Bottle Price,Wholesale Price,BTG Price,BTG Bottle Price,Beer Price,Cider Price,Spirit Price
sandeman-ruby-port,Sandeman,Fine Ruby Port,,,Portugal,,,Port,19.5,,,$40,$13.75,$13,$46,$28,$21,$4
comoz-vermouth-blanc,Comoz,Vermouth de Chambery Blanc,,,France,,,Vermouth,16.0,,,$39,$13.67,$13,$46,$28,$21,$4
tete-julienas-tradition-16,Michel Tête,Cuvée Tradition,Julienas,Beaujolais,France,Gamay,2016,Red,,,10,$40,$14.00,$14,$47,$28,$21,$4
bouchard-bourgogne-rouge-17,Bouchard Père et Fils,Bourgogne Rouge Réserve,,Burgundy,France,Pinot Noir,2017,Red,,,40,$40,$14.00,$14,$47,$28,$21,$4
bethel-chard-estate-14,Bethel Heights,Estate,Eola-Amity Hills,Oregon,USA,Chardonnay,2015,White,,checked,50,$41,$14.50,$14,$49,$29,$22,$4
quintinye-vermouth-dry,La Quintinye,Royal Vermouth Extra Dry,,,France,,,Vermouth,17.0,,,$41,$14.50,$14,$49,$29,$22,$7
yalumba-menzies-13,Yalumba,Menzies Vineyard,,Coonawarra,Australia,Cabernet Sauvignon,2013,Red,,checked,50,$42,$14.92,$14,$50,$30,$23,$4
alessio-vermouth-torino,Alessio,Vermouth di Torino,,,Italy,,,Vermouth,17.0,,,$42,$14.90,$14,$50,$30,$23,$8
reverdy-sancerre-18,Romain Reverdy,,,Sancerre,France,Sauvignon Blanc,2018,White,,,,$43,$15.17,$15,$51,$31,$23,$4
coulaine-bonnaventure-15,Château de Coulaine,Bonnaventure,,Chinon,France,Cabernet Franc,2015,Red,,,15,$42,$15.00,$15,$51,$30,$23,$4
lumen-pinot-15,Lumen,,Santa Barbara,California,USA,Pinot Noir,2015,Red,,,45,$42,$15.00,$15,$51,$30,$23,$4
pax-syrah-northcoast-17,Pax,North Coast,North Coast,California,USA,Syrah,2017,Red,,checked,40,$42,$15.00,$15,$51,$30,$23,$4
capelletti-apertivo,Cappelletti,Apertivo,,,Italy,,,Apertivo,17.0,,,$43,$15.25,$15,$51,$31,$23,$4
yalumba-muscat-nv,Yalumba,Museum Muscat,,Barossa Valley,Australia,Muscat,NV,Dessert,,,2,$43,$15.50,$15,$52,$31,$24,$8
cocchi-americano,Cocchi,Americano,,,Italy,,,Apertivo,16.5,,,$44,$15.58,$15,$52,$32,$24,$4
meletti-amaro,Meletti,Amaro Meletti,,,Italy,,,Amaro,32.0,,,$43,$15.50,$15,$52,$31,$24,$4
cocchi-vermouth-torino,Cocchi,Vermouth di Torino,,,Italy,,,Vermouth,16.0,,,$44,$15.75,$15,$53,$32,$24,$4
piocho-sb-18,Happy Canyon Vineyard,Piocho,Santa Barbara,California,USA,"Sauvignon Blanc,Sémillon",2018,White,,checked,40,$44,$16.00,$16,$54,$32,$24,$4
scar-sea-pinot-18,Scar of the Sea,,Santa Barbara,California,USA,Pinot Noir,2018,Red,,checked,10,$44,$16.00,$16,$54,$32,$24,$4
byrhh-quinquina,Byrhh,Grand Quinquina,,,France,,,Apertivo,18.0,,,$45,$16.17,$16,$54,$33,$25,$4
amaro-ciociaro,Paolucci,Amaro CioCiaro,,,Italy,,,Amaro,30.0,,,$45,$16.50,$16,$56,$33,$25,$4
lieu-dit-chenin-17,Lieu Dit,,Santa Ynez,California,USA,Chenin Blanc,2017,White,,,20,$47,$17.00,$17,$57,$34,$26,$5
lillet-blanc,Lillet,Blanc,,,France,,,Apertivo,17.0,,,$46,$16.83,$16,$57,$34,$26,$5
lillet-rouge,Lillet,Rouge,,,France,,,Apertivo,17.0,,,$46,$16.83,$16,$57,$34,$26,$5
vietti-arneis-18,Vietti,Roero Arneis,,Piedmont,Italy,Arneis,2018,White,,,40,$47,$17.11,$17,$58,$35,$26,$5
amaro-sfumato,Cappelletti,Amaro Sfumato Rabarbo,,,Italy,,,Amaro,40.0,,,$47,$17.25,$17,$58,$35,$26,$5
